0,0,0,0
9.80E+01,2.13E+01,2.13E+01,2.13E+01
6.37E+01,2.01E+01,1.02E+01,1.15E+01
5.33E+01,2.43E+01,9.51E+00,1.07E+01
9.83E+01,5.72E+01,2.14E+01,2.35E+01
2.63E+02,1.75E+02,6.62E+01,6.68E+01
7.56E+02,5.70E+02,2.21E+02,2.12E+02
1.35E+03,1.03E+03,4.03E+02,3.31E+02
1.66E+03,1.31E+03,5.17E+02,3.77E+02
1.72E+03,1.40E+03,5.98E+02,4.48E+02
1.53E+03,1.54E+03,7.36E+02,5.90E+02
1.27E+03,1.53E+03,8.33E+02,8.85E+02
9.62E+02,1.28E+03,7.65E+02,9.81E+02
7.96E+02,1.13E+03,7.21E+02,9.67E+02
9.65E+02,7.61E+02,3.87E+02,4.57E+02
8.52E+02,8.64E+02,4.61E+02,4.40E+02
1.31E+03,1.79E+03,1.13E+03,1.01E+03
